Id,ProductId,UserId,Text
1,B001E4KFG0,A3SGXH7AUHU8GW,I have bought several of the Vitality canned dog food products and have found them all to be of good quality
1,B001E4KFG0,A3SGXH7AUHU8GW,The product looks more like a stew than a processed meat and it smells bette
1,B001E4KFG0,A3SGXH7AUHU8GW,My Labrador is finicky and she appreciates this product better than  most
2,B00813GRG4,A1D87F6ZCVE5NK,Product arrived labeled as Jumbo Salted Peanuts
2,B00813GRG4,A1D87F6ZCVE5NK,the peanuts were actually small sized unsalted
2,B00813GRG4,A1D87F6ZCVE5NK,"Not sure if this was an error or if the vendor intended to represent the product as ""Jumbo"""
3,B000LQOCH0,ABXLMWJIXXAIN,This is a confection that has been around a few centuries
3,B000LQOCH0,ABXLMWJIXXAIN,"It is a light, pillowy citrus gelatin with nuts - in this case Filberts"
3,B000LQOCH0,ABXLMWJIXXAIN,And it is cut into tiny squares and then liberally coated with powdered suga
3,B000LQOCH0,ABXLMWJIXXAIN,And it is a tiny mouthful of heaven
3,B000LQOCH0,ABXLMWJIXXAIN,"Not too chewy, and very flavorful"
3,B000LQOCH0,ABXLMWJIXXAIN,I highly recommend this yummy treat
3,B000LQOCH0,ABXLMWJIXXAIN,If you are familiar with the story of C
3,B000LQOCH0,ABXLMWJIXXAIN,S
3,B000LQOCH0,ABXLMWJIXXAIN,"Lewis' ""The Lion, The Witch, and The Wardrobe"" - this is the treat that seduces Edmund into selling out his Brother and Sisters to the Witch"
4,B000UA0QIQ,A395BORC6FGVXV,If you are looking for the secret ingredient in Robitussin I believe I have found it
4,B000UA0QIQ,A395BORC6FGVXV,I got this in addition to the Root Beer Extract I ordered (which was good) and made some cherry soda
4,B000UA0QIQ,A395BORC6FGVXV,The flavor is very medicinal
5,B006K2ZZ7K,A1UQRSCLF8GW1T,Great taffy at a great price
5,B006K2ZZ7K,A1UQRSCLF8GW1T,There was a wide assortment of yummy taffy
5,B006K2ZZ7K,A1UQRSCLF8GW1T,Delivery was very quick
5,B006K2ZZ7K,A1UQRSCLF8GW1T,"If your a taffy lover, this is a deal"
6,B006K2ZZ7K,ADT0SRK1MGOEU,I got a wild hair for taffy and ordered this five pound bag
6,B006K2ZZ7K,ADT0SRK1MGOEU,"The taffy was all very enjoyable with many flavors: watermelon, root beer, melon, peppermint, grape, etc"
6,B006K2ZZ7K,ADT0SRK1MGOEU,My only complaint is there was a bit too much red/black licorice-flavored pieces (just not my particular favorites)
6,B006K2ZZ7K,ADT0SRK1MGOEU,"Between me, my kids, and my husband, this lasted only two weeks"
6,B006K2ZZ7K,ADT0SRK1MGOEU,I would recommend this brand of taffy -- it was a delightful treat
7,B006K2ZZ7K,A1SP2KVKFXXRU1,This saltwater taffy had great flavors and was very soft and chewy
7,B006K2ZZ7K,A1SP2KVKFXXRU1,Each candy was individually wrapped well
7,B006K2ZZ7K,A1SP2KVKFXXRU1,"None of the candies were stuck together, which did happen in the expensive version, Fralinger's"
7,B006K2ZZ7K,A1SP2KVKFXXRU1,Would highly recommend this candy
7,B006K2ZZ7K,A1SP2KVKFXXRU1,I served it at a beach-themed party and everyone loved it
8,B006K2ZZ7K,A3JRGQVEQN31IQ,This taffy is so good
8,B006K2ZZ7K,A3JRGQVEQN31IQ,It is very soft and chewy
8,B006K2ZZ7K,A3JRGQVEQN31IQ,The flavors are amazing
8,B006K2ZZ7K,A3JRGQVEQN31IQ,I would definitely recommend you buying it
8,B006K2ZZ7K,A3JRGQVEQN31IQ,Very satisfying
9,B000E7L2R4,A1MZYO9TZK0BBI,Right now I'm mostly just sprouting this so my cats can eat the grass
9,B000E7L2R4,A1MZYO9TZK0BBI,They love it
9,B000E7L2R4,A1MZYO9TZK0BBI,I rotate it around with Wheatgrass and Rye too
10,B00171APVA,A21BT40VZCCYT4,This is a very healthy dog food
10,B00171APVA,A21BT40VZCCYT4,Good for their digestion
10,B00171APVA,A21BT40VZCCYT4,Also good for small puppies
10,B00171APVA,A21BT40VZCCYT4,My dog eats her required amount at every feeding
11,B0001PB9FE,A3HDKO7OW0QNK4,"I don't know if it's the cactus or the tequila or just the unique combination of ingredients, but the flavour of this hot sauce makes it one of a kind"
11,B0001PB9FE,A3HDKO7OW0QNK4,We picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away
11,B0001PB9FE,A3HDKO7OW0QNK4,When we realized that we simply couldn't find it anywhere in our city we were bummed
11,B0001PB9FE,A3HDKO7OW0QNK4,"Now, because of the magic of the internet, we have a case of the sauce and are ecstatic because of it"
11,B0001PB9FE,A3HDKO7OW0QNK4,If you love hot sauce
11,B0001PB9FE,A3HDKO7OW0QNK4,"I mean really love hot sauce, but don't want a sauce that tastelessly burns your throat, grab a bottle of Tequila Picante Gourmet de Inclan"
11,B0001PB9FE,A3HDKO7OW0QNK4,"Just realize that once you taste it, you will never want to use any other sauce"
11,B0001PB9FE,A3HDKO7OW0QNK4,"Thank you for the personal, incredible service"
12,B0009XLVG0,A2725IB4YY9JEB,One of my boys needed to lose some weight and the other didn't
12,B0009XLVG0,A2725IB4YY9JEB,"I put this food on the floor for the chubby guy, and the protein-rich, no by-product food up higher where only my skinny boy can jump"
12,B0009XLVG0,A2725IB4YY9JEB,The higher food sits going stale
12,B0009XLVG0,A2725IB4YY9JEB,They both really go for this food
12,B0009XLVG0,A2725IB4YY9JEB,And my chubby boy has been losing about an ounce a week
13,B0009XLVG0,A327PCT23YH90,My cats have been happily eating Felidae Platinum for more than two years
13,B0009XLVG0,A327PCT23YH90,I just got a new bag and the shape of the food is different
13,B0009XLVG0,A327PCT23YH90,They tried the new food when I first put it in their bowls and now the bowls sit full and the kitties will not touch the food
13,B0009XLVG0,A327PCT23YH90,I've noticed similar reviews related to formula changes in the past
13,B0009XLVG0,A327PCT23YH90,"Unfortunately, I now need to find a new food that my cats will eat"
14,B001GVISJM,A18ECVX2RJ7HUE,good flavo
14,B001GVISJM,A18ECVX2RJ7HUE,these came securely packed
14,B001GVISJM,A18ECVX2RJ7HUE,they were fresh and delicious
14,B001GVISJM,A18ECVX2RJ7HUE,i love these Twizzlers
15,B001GVISJM,A2MUGFV2TDQ47K,The Strawberry Twizzlers are my guilty pleasure - yummy
15,B001GVISJM,A2MUGFV2TDQ47K,Six pounds will be around for a while with my son and I
16,B001GVISJM,A1CZX3CP8IKQIJ,My daughter loves twizzlers and this shipment of six pounds really hit the spot
16,B001GVISJM,A1CZX3CP8IKQIJ,It's exactly what you would expect
16,B001GVISJM,A1CZX3CP8IKQIJ,six packages of strawberry twizzlers
17,B001GVISJM,A3KLWF6WQ5BNYO,I love eating them and they are good for watching TV and looking at movies
17,B001GVISJM,A3KLWF6WQ5BNYO,It is not too sweet
17,B001GVISJM,A3KLWF6WQ5BNYO,I like to transfer them to a zip lock baggie so they stay fresh so I can take my time eating them
18,B001GVISJM,AFKW14U97Z6QO,I am very satisfied with my Twizzler purchase
18,B001GVISJM,AFKW14U97Z6QO,I shared these with others and we have all enjoyed them
18,B001GVISJM,AFKW14U97Z6QO,I will definitely be ordering more
19,B001GVISJM,A2A9X58G2GTBLP,"Twizzlers, Strawberry my childhood favorite candy, made in Lancaster Pennsylvania by Y & S Candies, Inc"
19,B001GVISJM,A2A9X58G2GTBLP,"one of the oldest confectionery Firms in the United States, now a Subsidiary of the Hershey Company, the Company was established in 1845 as Young and Smylie, they also make Apple Licorice Twists, Green Color and Blue Raspberry Licorice Twists, I like them all<br /><br />I keep it in a dry cool place because is not recommended it to put it in the fridge"
19,B001GVISJM,A2A9X58G2GTBLP,"According to the Guinness Book of Records, the longest Licorice Twist ever made measured 1"
19,B001GVISJM,A2A9X58G2GTBLP,"200 Feet (370 M) and weighted 100 Pounds (45 Kg) and was made by Y & S Candies, Inc"
19,B001GVISJM,A2A9X58G2GTBLP,"This Record-Breaking Twist became a Guinness World Record on July 19, 1998"
19,B001GVISJM,A2A9X58G2GTBLP,This Product is Koshe
19,B001GVISJM,A2A9X58G2GTBLP,Thank You
20,B001GVISJM,A3IV7CL2C13K2U,Candy was delivered very fast and was purchased at a reasonable price
20,B001GVISJM,A3IV7CL2C13K2U,I was home bound and unable to get to a store so this was perfect for me
21,B001GVISJM,A1WO0KGLPR5PV6,My husband is a Twizzlers addict
21,B001GVISJM,A1WO0KGLPR5PV6,We've bought these many times from Amazon because we're government employees living overseas and can't get them in the country we are assigned to
21,B001GVISJM,A1WO0KGLPR5PV6,"They've always been fresh and tasty, packed well and arrive in a timely manne"
22,B001GVISJM,AZOF9E17RGZH8,I bought these for my husband who is currently overseas
